participant_id	age	sex	group
sub-0389	n/a	male	n/a
sub-0390	n/a	male	n/a
sub-0391	n/a	male	n/a
sub-0392	46.0	male	n/a
sub-0393	n/a	female	n/a
sub-0394	n/a	female	n/a
sub-0395	35.0	female	n/a
sub-0396	67.0	female	n/a
sub-0397	26.0	female	n/a
sub-0398	25.0	female	n/a
sub-0399	37.0	female	n/a
sub-0400	n/a	female	n/a
sub-0401	n/a	female	n/a
sub-0402	42.0	male	n/a
sub-0403	37.0	female	n/a
sub-0404	33.0	female	n/a
sub-0405	18.0	female	n/a
sub-0406	n/a	female	n/a
sub-0407	n/a	female	n/a
sub-0408	22.0	female	n/a
sub-0409	57.0	female	n/a
sub-0410	63.0	female	n/a
sub-0411	47.0	female	n/a
sub-0412	n/a	male	n/a
sub-0413	n/a	female	n/a
sub-0414	66.0	male	n/a
sub-0415	n/a	female	n/a
sub-0416	77.0	female	n/a
sub-0417	30.0	female	n/a
sub-0418	38.0	female	n/a
sub-0419	n/a	female	n/a
sub-0420	33.0	female	n/a
sub-0421	61.0	female	n/a
sub-0422	44.0	female	n/a
sub-0423	62.0	female	n/a
sub-0424	54.0	female	n/a
sub-0425	20.0	female	n/a
sub-0426	n/a	female	n/a
sub-0427	50.0	female	n/a
sub-0428	46.0	female	n/a
sub-0429	19.0	male	n/a
sub-0430	21.0	female	n/a
sub-0431	n/a	female	n/a
sub-0432	58.0	female	n/a
sub-0433	n/a	male	n/a
sub-0434	41.0	female	n/a
sub-0435	40.0	female	n/a
sub-0436	58.0	female	n/a
sub-0437	n/a	female	n/a
sub-0438	52.0	female	n/a
sub-0439	71.0	female	n/a
sub-0440	n/a	male	n/a
sub-0441	29.0	female	n/a
sub-0442	n/a	female	n/a
sub-0443	n/a	female	n/a
sub-0444	48.0	female	n/a
sub-0445	n/a	female	n/a
sub-0446	27.0	female	n/a
sub-0447	54.0	female	n/a
sub-0448	n/a	female	n/a
sub-0449	21.0	male	n/a
sub-0450	n/a	male	n/a
sub-0451	69.0	male	n/a
sub-0452	65.0	male	n/a
sub-0453	48.0	male	n/a
sub-0454	12.0	female	n/a
sub-0455	27.0	female	n/a
sub-0456	n/a	male	n/a
sub-0457	11.0	female	n/a
sub-0458	26.0	female	n/a
sub-0459	29.0	male	n/a
sub-0460	54.0	female	n/a
sub-0461	21.0	female	n/a
sub-0462	55.0	female	n/a
sub-0463	n/a	female	n/a
sub-0464	30.0	female	n/a
sub-0465	65.0	female	n/a
sub-0466	60.0	male	n/a
sub-0467	n/a	female	n/a
sub-0468	66.0	female	n/a
sub-0469	n/a	female	n/a
sub-0470	n/a	female	n/a
sub-0471	n/a	female	n/a
sub-0472	n/a	female	n/a
sub-0473	n/a	female	n/a
sub-0474	n/a	female	n/a
sub-0475	69.0	male	n/a
sub-0476	52.0	female	n/a
sub-0477	n/a	female	n/a
sub-0478	41.0	male	n/a
sub-0479	59.0	female	n/a
sub-0480	n/a	male	n/a
sub-0481	n/a	female	n/a
sub-0482	44.0	female	n/a
sub-0483	33.0	female	n/a
sub-0484	n/a	female	n/a
sub-0485	n/a	female	n/a
sub-0486	n/a	female	n/a
sub-0487	n/a	male	n/a
sub-0488	n/a	female	n/a
sub-0489	18.0	female	n/a
sub-0490	40.0	female	n/a
sub-0491	54.0	female	n/a
sub-0492	19.0	male	n/a
sub-0493	68.0	female	n/a
sub-0494	53.0	female	n/a
sub-0495	27.0	female	n/a
sub-0496	n/a	male	n/a
sub-0497	n/a	male	n/a
sub-0498	n/a	female	n/a
sub-0499	54.0	female	n/a
sub-0500	25.0	female	n/a
sub-0501	83.0	male	n/a
sub-0502	n/a	female	n/a
sub-0503	54.0	female	n/a
sub-0504	54.0	female	n/a
sub-0505	46.0	male	n/a
sub-0506	53.0	female	n/a
sub-0507	7.0	female	n/a
sub-0508	38.0	male	n/a
sub-0509	46.0	male	n/a
sub-0510	25.0	male	n/a
sub-0511	65.0	female	n/a
sub-0512	33.0	male	n/a
sub-0513	47.0	female	n/a
sub-0514	n/a	female	n/a
sub-0515	n/a	female	n/a
sub-0516	61.0	female	n/a
sub-0517	34.0	female	n/a
sub-0518	27.0	female	n/a
sub-0519	n/a	male	n/a
sub-0520	26.0	male	n/a
sub-0521	38.0	female	n/a
sub-0522	n/a	male	n/a
sub-0523	38.0	female	n/a
sub-0524	89.0	female	n/a
sub-0525	16.0	male	n/a
sub-0526	49.0	female	n/a
sub-0527	61.0	male	n/a
sub-0528	n/a	female	n/a
sub-0529	19.0	male	n/a
sub-0530	39.0	female	n/a
sub-0531	81.0	female	n/a
sub-0532	33.0	female	n/a
sub-0533	n/a	female	n/a
sub-0534	n/a	female	n/a
sub-0535	n/a	male	n/a
sub-0536	37.0	female	n/a
sub-0537	11.0	male	n/a
sub-0538	47.0	female	n/a
sub-0539	n/a	female	n/a
sub-0540	21.0	male	n/a
sub-0541	35.0	female	n/a
sub-0542	n/a	female	n/a
sub-0543	68.0	female	n/a
sub-0544	39.0	female	n/a
sub-0545	57.0	male	n/a
sub-0546	n/a	female	n/a
sub-0547	41.0	female	n/a
sub-0548	10.0	female	n/a
sub-0549	73.0	female	n/a
sub-0550	53.0	female	n/a
sub-0551	39.0	male	n/a
sub-0552	20.0	male	n/a
sub-0553	n/a	female	n/a
sub-0554	n/a	male	n/a
sub-0555	34.0	female	n/a
sub-0556	18.0	female	n/a
sub-0557	n/a	female	n/a
sub-0558	53.0	female	n/a
sub-0559	55.0	male	n/a
sub-0560	63.0	female	n/a
sub-0561	69.0	male	n/a
sub-0562	26.0	male	n/a
sub-0563	35.0	male	n/a
sub-0564	51.0	male	n/a
sub-0565	n/a	female	n/a
sub-0566	n/a	male	n/a
sub-0567	36.0	male	n/a
sub-0568	24.0	male	n/a
sub-0569	71.0	female	n/a
sub-0570	34.0	female	n/a
sub-0571	51.0	male	n/a
sub-0572	59.0	female	n/a
sub-0573	8.0	male	n/a
sub-0574	52.0	female	n/a
sub-0575	36.0	male	n/a
sub-0576	36.0	female	n/a
sub-0577	13.0	female	n/a
sub-0578	38.0	female	n/a
sub-0579	70.0	female	n/a
sub-0580	65.0	female	n/a
sub-0581	28.0	female	n/a
sub-0582	34.0	female	n/a
sub-0583	42.0	female	n/a
sub-0584	41.0	female	n/a
sub-0585	10.0	female	n/a
sub-0586	55.0	female	n/a
sub-0587	29.0	female	n/a
sub-0588	77.0	female	n/a
sub-0589	35.0	female	n/a
sub-0590	26.0	female	n/a
sub-0591	n/a	female	n/a
sub-0592	40.0	female	n/a
sub-0593	19.0	female	n/a
sub-0594	n/a	female	n/a
sub-0595	32.0	male	n/a
sub-0596	n/a	male	n/a
sub-0597	60.0	female	n/a
sub-0598	26.0	female	n/a
sub-0599	n/a	female	n/a
sub-0600	62.0	male	n/a
sub-0601	40.0	female	n/a
sub-0602	56.0	female	n/a
sub-0603	n/a	male	n/a
sub-0604	49.0	female	n/a
sub-0605	66.0	female	n/a
sub-0606	38.0	female	n/a
sub-0607	65.0	female	n/a
sub-0608	53.0	female	n/a
sub-0609	45.0	female	n/a
sub-0610	48.0	female	n/a
sub-0611	35.0	female	n/a
sub-0612	62.0	female	n/a
sub-0613	31.0	female	n/a
sub-0614	65.0	female	n/a
sub-0615	51.0	female	n/a
sub-0616	41.0	male	n/a
sub-0617	30.0	male	n/a
sub-0618	46.0	female	n/a
sub-0619	n/a	female	n/a
sub-0620	n/a	male	n/a
sub-0621	n/a	female	n/a
sub-0622	64.0	female	n/a
sub-0623	54.0	female	n/a
sub-0624	n/a	female	n/a
sub-0625	n/a	female	n/a
sub-0626	48.0	female	n/a
sub-0627	n/a	female	n/a
sub-0628	n/a	male	n/a
sub-0629	45.0	female	n/a
sub-0630	59.0	female	n/a
sub-0631	48.0	female	n/a
sub-0632	n/a	female	n/a
sub-0633	16.0	female	n/a
sub-0634	61.0	female	n/a
sub-0635	n/a	male	n/a
sub-0636	n/a	female	n/a
sub-0637	14.0	male	n/a
sub-0638	56.0	female	n/a
sub-0639	n/a	female	n/a
sub-0640	8.0	female	n/a
sub-0641	24.0	female	n/a
sub-0642	53.0	female	n/a
sub-0643	65.0	female	n/a
sub-0644	25.0	female	n/a
sub-0645	18.0	female	n/a
sub-0646	14.0	male	n/a
sub-0647	37.0	female	n/a
sub-0648	21.0	female	n/a
sub-0649	40.0	female	n/a
sub-0650	n/a	female	n/a
sub-0651	47.0	female	n/a
sub-0652	61.0	female	n/a
sub-0653	n/a	female	n/a
sub-0654	11.0	female	n/a
sub-0655	44.0	female	n/a
sub-0656	45.0	female	n/a
sub-0657	11.0	male	n/a
sub-0658	40.0	female	n/a
sub-0659	n/a	female	n/a
sub-0660	67.0	female	n/a
sub-0661	39.0	female	n/a
sub-0662	29.0	female	n/a
sub-0663	n/a	female	n/a
sub-0664	63.0	female	n/a
sub-0665	66.0	female	n/a
sub-0666	55.0	female	n/a
sub-0667	n/a	male	n/a
sub-0668	43.0	female	n/a
sub-0669	19.0	female	n/a
sub-0670	40.0	female	n/a
sub-0671	36.0	female	n/a
sub-0672	n/a	female	n/a
sub-0673	51.0	male	n/a
sub-0674	45.0	male	n/a
sub-0675	47.0	female	n/a
sub-0676	63.0	female	n/a
sub-0677	28.0	female	n/a
sub-0678	52.0	female	n/a
sub-0679	n/a	female	n/a
sub-0680	70.0	female	n/a
sub-0681	n/a	female	n/a
sub-0682	60.0	female	n/a
sub-0683	n/a	female	n/a
sub-0684	n/a	male	n/a
sub-0685	n/a	female	n/a
sub-0686	60.0	male	n/a
sub-0687	62.0	female	n/a
sub-0688	36.0	male	n/a
sub-0689	43.0	male	n/a
sub-0690	65.0	male	n/a
sub-0691	56.0	female	n/a
sub-0692	33.0	male	n/a
sub-0693	35.0	female	n/a
sub-0694	21.0	female	n/a
sub-0695	38.0	female	n/a
sub-0696	40.0	female	n/a
sub-0697	n/a	female	n/a
sub-0698	15.0	female	n/a
sub-0699	35.0	female	n/a
sub-0700	n/a	female	n/a
sub-0701	67.0	male	n/a
sub-0702	35.0	female	n/a
sub-0703	n/a	female	n/a
sub-0704	75.0	male	n/a
sub-0705	71.0	female	n/a
sub-0706	8.0	female	n/a
sub-0707	55.0	female	n/a
sub-0708	n/a	female	n/a
sub-0709	n/a	female	n/a
sub-0710	73.0	female	n/a
sub-0711	31.0	male	n/a
sub-0712	36.0	female	n/a
sub-0713	34.0	female	n/a
sub-0714	n/a	female	n/a
sub-0715	28.0	female	n/a
sub-0716	n/a	female	n/a
sub-0717	35.0	male	n/a
sub-0718	n/a	female	n/a
sub-0719	40.0	female	n/a
sub-0720	n/a	female	n/a
sub-0721	37.0	male	n/a
sub-0722	39.0	female	n/a
sub-0723	21.0	female	n/a
sub-0724	43.0	male	n/a
sub-0725	n/a	male	n/a
sub-0726	40.0	female	n/a
sub-0727	76.0	male	n/a
sub-0728	57.0	female	n/a
sub-0729	n/a	female	n/a
sub-0730	n/a	female	n/a
sub-0731	n/a	female	n/a
sub-0732	59.0	female	n/a
sub-0733	31.0	male	n/a
sub-0734	n/a	female	n/a
sub-0735	n/a	male	n/a
sub-0736	58.0	female	n/a
sub-0737	34.0	female	n/a
sub-0738	50.0	female	n/a
sub-0739	53.0	female	n/a
sub-0740	49.0	female	n/a
sub-0741	63.0	male	n/a
sub-0742	n/a	female	n/a
sub-0743	n/a	male	n/a
sub-0744	44.0	male	n/a
sub-0745	71.0	female	n/a
sub-0746	17.0	male	n/a
sub-0747	n/a	female	n/a
sub-0748	n/a	female	n/a
sub-0749	50.0	female	n/a
sub-0750	55.0	male	n/a
sub-0751	n/a	male	n/a
sub-0752	71.0	female	n/a
sub-0753	n/a	female	n/a
sub-0754	67.0	female	n/a
sub-0755	78.0	female	n/a
sub-0756	42.0	female	n/a
sub-0757	39.0	female	n/a
sub-0758	49.0	female	n/a
sub-0759	34.0	female	n/a
sub-0760	78.0	female	n/a
sub-0761	n/a	male	n/a
sub-0762	16.0	female	n/a
sub-0763	n/a	female	n/a
sub-0764	43.0	female	n/a
sub-0765	45.0	female	n/a
sub-0766	30.0	female	n/a
sub-0767	28.0	female	n/a
sub-0768	n/a	male	n/a
sub-0769	20.0	male	n/a
sub-0770	65.0	female	n/a
sub-0771	67.0	male	n/a
sub-0772	53.0	female	n/a
sub-0773	44.0	female	n/a
sub-0774	38.0	female	n/a
sub-0775	n/a	female	n/a
sub-0776	n/a	female	n/a
sub-0777	n/a	female	n/a
sub-0778	60.0	female	n/a
sub-0779	43.0	male	n/a
sub-0780	n/a	male	n/a
sub-0781	n/a	female	n/a
sub-0782	50.0	male	n/a
sub-0783	n/a	female	n/a
sub-0784	23.0	male	n/a
sub-0785	48.0	female	n/a
sub-0786	55.0	male	n/a
sub-0787	n/a	female	n/a
sub-0788	n/a	female	n/a
sub-0789	16.0	female	n/a
sub-0790	n/a	female	n/a
sub-0791	n/a	male	n/a
sub-0792	72.0	female	n/a
sub-0793	30.0	female	n/a
sub-0794	44.0	female	n/a
sub-0795	55.0	female	n/a
sub-0796	n/a	female	n/a
sub-0797	45.0	male	n/a
sub-0798	43.0	male	n/a
